"zone","state","lga","sector","ea","hhid","plotid","s11aq4a","s11aq4b","s11aq4c","s11aq4d","s11aq5c","s11aq6"
4,1,115,1,670,10005,1,1000,1,,567.9,301,2
4,1,104,2,1364,10011,1,500,3,,443,2101,1
4,1,104,2,1364,10011,2,550,3,,423.1,2102,1
4,1,104,2,1364,10012,1,2000,3,,1703.7,901,2
4,1,104,2,1364,10013,1,950,1,,213,601,1
4,1,104,2,1364,10013,2,1000,3,,173.2,602,1
4,1,104,2,1364,10013,3,1100,1,,880,603,1
4,1,104,2,1364,10013,4,,,,175,604,1
4,1,104,2,1364,10014,1,,,,423.1,1101,1
4,1,104,2,1364,10015,1,480,3,,431.6,401,1
4,1,104,2,1364,10015,2,200,3,,113.6,402,1
4,1,104,2,1364,10016,1,220,3,,354.9,2401,1
4,1,104,2,1364,10016,2,140,1,,1124,2402,1
4,1,104,2,1364,10017,1,120,1,,170,1901,1
4,1,104,2,1364,10017,2,174,1,,36.9,1902,1
4,1,104,2,1364,10018,1,800,1,,269.7,1601,2
4,1,104,2,1364,10018,2,800,1,,258.4,1602,2
4,1,104,2,1364,10019,1,2000,1,,266.9,1401,1
4,1,104,2,1364,10019,2,2000,1,,417.4,1402,1
4,1,104,2,1364,10020,1,1000,1,,,101,1
4,1,104,2,1364,10020,2,970,1,,,102,1
4,1,106,2,880,10021,1,1000,3,,1201.5,401,1
4,1,106,2,880,10021,2,500,3,,497.1,402,1
4,1,106,2,880,10021,3,1400,3,,1320.8,403,1
4,1,106,2,880,10021,4,1000,3,,1158.9,404,2
4,1,106,2,880,10022,1,4800,1,,5351.5,1001,1
4,1,106,2,880,10022,2,1500,3,,497.1,1002,2
4,1,106,2,880,10022,3,2000,3,,1193,1003,2
4,1,106,2,880,10023,1,1000,3,,1025.4,301,2
4,1,106,2,880,10023,2,1050,3,,93.7,302,1
4,1,106,2,880,10023,3,2000,3,,832.3,303,1
4,1,106,2,880,10024,1,1500,1,,1320.8,1301,1
4,1,106,2,880,10024,2,1000,3,,806.7,1302,1
4,1,106,2,880,10024,3,,,,573.4,1303,1
4,1,106,2,880,10025,1,1000,1,,250,701,1
4,1,106,2,880,10025,2,1200,3,,766.9,702,1
4,1,106,2,880,10025,3,1200,1,,386.3,703,1
4,1,106,2,880,10025,4,,,,285,704,1
4,1,106,2,880,10026,1,1000,1,,2371.8,201,1
4,1,106,2,880,10026,2,800,3,,394.8,202,1
4,1,106,2,880,10026,3,1200,1,,1556.6,203,1
4,1,106,2,880,10027,1,4820,3,,434.6,901,2
4,1,106,2,880,10027,2,2100,1,,201.2,902,2
4,1,106,2,880,10027,3,1555,1,,181.8,903,2
4,1,106,2,880,10027,4,2500,3,,119.3,904,2
4,1,106,2,880,10027,5,,8,,119.4,905,2
4,1,106,2,880,10029,1,600,2,,295.4,601,2
