"zone","state","lga","sector","ea","hhid","plotid","s11aq4a","s11aq4b","s11aq4c","s11aq4a1","s11aq4b1","s11aq4b1_os","s11aq5c","s11aq6a","s11aq6b"
4,1,105,2,0,10009,1,40,2,248.22,1,,,1000901,2,
4,1,105,2,0,10009,2,30,2,202.15,1,,,1000902,2,
4,1,105,2,0,10009,3,30,2,235.77,1,,,1000903,2,
4,1,104,2,1364,10011,1,350,3,359.23,1,,,1001101,1,3
4,1,104,2,1364,10012,1,350,1,237.39,1,,,1001201,2,4
4,1,104,2,1364,10012,2,280,1,123.82,1,,,1001202,2,4
4,1,104,2,1364,10013,1,1000,1,1206.3,1,,,1001301,1,
4,1,104,2,1364,10013,2,900,1,806.2,1,,,1001302,1,
4,1,104,2,0,10015,1,100,1,372.16,1,,,1001501,2,
4,1,104,2,0,10015,2,80,1,139.24,1,,,1001502,2,
4,1,104,2,1364,10016,1,200,1,318.2,1,,,1001601,2,
4,1,104,2,1364,10017,1,439,1,109.13,1,,,1001701,2,
4,1,104,2,1364,10018,1,432,1,134.04,1,,,1001801,2,
4,1,104,2,1364,10019,1,250,1,191.55,1,,,1001901,1,2
4,1,104,2,1364,10019,2,150,1,564.55,1,,,1001902,1,2
4,1,106,2,880,10021,1,350,1,1472.5,1,,,1002101,1,2
4,1,106,2,880,10021,2,400,1,883.63,1,,,1002102,1,2
4,1,106,2,880,10021,3,250,1,693.49,1,,,1002103,1,2
4,1,106,2,880,10021,4,450,1,767.91,1,,,1002104,1,2
4,1,106,2,880,10022,1,420,1,1441.9,1,,,1002201,1,
4,1,106,2,880,10022,2,215,2,714.39,1,,,1002202,1,
4,1,106,2,880,10023,1,810,1,820.65,1,,,1002301,1,2
4,1,106,2,880,10023,2,640,1,785.02,1,,,1002302,1,2
4,1,106,2,880,10023,3,380,3,533.39,1,,,1002303,1,2
4,1,106,2,880,10024,1,500,1,1236.5,1,,,1002401,2,
4,1,106,2,880,10024,2,300,1,170.25,1,,,1002402,2,
4,1,106,2,880,10025,1,1000,1,1258.2,1,,,1002501,1,2
4,1,106,2,880,10025,2,900,1,183.5,1,,,1002502,1,2
4,1,106,2,880,10025,3,1200,1,318.4,1,,,1002503,1,2
4,1,106,2,880,10027,1,1050,2,915.86,1,,,2701,2,
4,1,106,2,880,10027,2,40,2,151.21,1,,,2702,2,
4,1,106,2,880,10027,3,50,2,241.31,1,,,2703,2,
4,1,106,2,880,10029,1,120,2,598.33,1,,,1002901,1,2
4,1,106,2,880,10029,2,83,2,511.28,1,,,1002902,1,2
4,1,106,2,880,10030,1,300,3,2670.37,1,,,1003001,1,2
4,1,106,2,880,10030,2,250,1,305.65,1,,,1003002,1,2
4,1,106,2,880,10030,3,150,1,818.03,1,,,1003003,1,2
4,1,111,1,1146,10033,1,50,3,321.31,1,,,103301,1,
4,1,102,1,1690,10057,1,133,3,161.64,1,,,1005701,1,
4,1,107,2,1044,10061,1,1200,1,273.06,1,,,1006101,1,2
4,1,107,2,1044,10061,2,1640,1,283.18,1,,,1006102,1,2
4,1,107,2,1044,10062,1,560,1,437.45,1,,,1006201,1,
4,1,107,2,1044,10062,2,620,1,472.45,1,,,1006202,1,
4,1,107,2,1044,10062,3,370,1,318.96,1,,,1006203,1,
4,1,107,2,1044,10063,1,345,1,640.35,1,,,1006301,1,3
4,1,107,2,1044,10063,2,250,1,419.65,1,,,1006302,1,3
4,1,107,2,1044,10063,3,350,1,687.23,1,,,1006303,1,3
4,1,107,2,1044,10063,4,270,1,474.73,1,,,1006304,1,3
4,1,107,2,1044,10064,1,1828,3,2164,1,,,1006401,1,
4,1,107,2,1044,10064,2,1300,3,857.82,1,,,1006402,1,
4,1,102,1,0,10065,1,700,1,567.94,1,,,1006501,2,
4,1,102,1,0,10065,2,800,1,729.98,1,,,1006502,2,
4,1,102,1,0,10065,3,900,1,584.67,1,,,1006503,2,
4,1,107,2,1044,10066,1,1000,1,1590.8,1,,,1006601,2,
4,1,107,2,1044,10066,2,50,3,584.21,1,,,1006602,2,
4,1,107,2,1044,10066,3,1000,1,1843.2,1,,,1006603,2,
4,1,107,2,1044,10066,4,1000,1,907.7,1,,,1006604,2,
4,1,107,2,1044,10066,5,1000,1,1915.8,1,,,1006605,2,
4,1,107,2,1044,10067,1,800,1,498.42,1,,,1006701,2,
4,1,107,2,1044,10067,2,1000,1,1920.1,1,,,1006702,2,
4,1,107,2,1044,10067,3,900,1,680.07,1,,,1006703,2,
4,1,107,2,1044,10068,1,1000,1,1485.2,1,,,1006801,2,
4,1,107,2,1044,10068,2,2000,1,2841.3,1,,,1006802,2,
4,1,107,2,1044,10068,3,1500,1,302,1,,,1006803,2,
4,1,107,2,1044,10069,1,428,3,885.96,1,,,1006901,2,9
4,1,107,2,1044,10069,2,344,3,361.84,1,,,1006902,2,9
4,1,107,2,0,10070,1,1000,1,997.68,1,,,1001501,2,
4,1,107,2,0,10070,2,700,1,565.92,1,,,1001502,2,
4,1,107,2,0,10070,3,600,1,442.06,1,,,1001503,2,
4,1,117,2,560,10071,1,150,1,155.29,1,,,1007101,1,2
4,1,117,2,560,10071,2,120,1,107.99,1,,,1007102,1,2
4,1,117,2,560,10072,1,1000,1,747,1,,,1007201,2,
4,1,117,2,560,10072,2,1000,1,1058,1,,,1007202,2,
4,1,117,2,560,10073,1,150,1,210.44,1,,,1007301,1,
4,1,117,2,560,10073,2,205,1,295.89,1,,,1007302,1,
4,1,117,2,560,10074,1,268,1,430.45,1,,,1007401,2,4
4,1,117,2,560,10074,2,230,1,375.26,1,,,1007402,2,4
4,1,117,2,560,10075,1,200,3,540.08,1,,,1007501,1,2
4,1,117,2,560,10075,2,120,3,336.21,1,,,1007502,1,2
4,1,117,2,560,10076,1,41,3,329.44,1,,,1007601,1,
4,1,117,2,560,10077,1,28,3,479.68,1,,,1007701,1,
4,1,117,2,560,10077,2,422,1,350.32,1,,,1007702,1,
4,1,117,2,560,10078,1,108,1,278.48,1,,,1007801,2,4
4,1,117,2,560,10078,2,148,1,331.71,1,,,1007802,2,4
4,1,117,2,560,10078,3,200,1,488.17,1,,,1007803,2,4
4,1,117,2,560,10079,1,1500,1,2461.22,1,,,1007901,2,
4,1,117,2,560,10080,1,150,1,362.48,1,,,1008001,1,2
4,1,117,2,560,10080,2,250,1,423.15,1,,,1008001,1,2
4,1,110,2,76,10081,1,503,1,331.97,1,,,1008101,1,
4,1,110,2,76,10082,1,508,1,399.85,1,,,1008201,1,
4,1,110,2,76,10082,2,300,1,156.59,1,,,1008202,1,
4,1,110,2,76,10082,3,375,1,189.54,1,,,1008203,1,
4,1,110,2,76,10085,1,245,3,137.71,1,,,1008501,1,
4,1,110,2,76,10085,2,1300,1,745.69,1,,,1008502,1,
4,1,110,2,76,10085,3,820,1,530.02,1,,,1008503,1,
4,1,110,2,76,10086,1,1000,1,1666.1,1,,,1008601,2,
4,1,110,2,76,10086,2,2000,2,2784.4,1,,,1008602,2,
4,1,110,2,76,10087,1,1200,1,115.8,1,,,1008701,1,
4,1,110,2,76,10087,2,1000,1,710.4,1,,,1008702,1,
4,1,110,2,76,10087,3,1000,1,965.1,1,,,1008703,1,
4,1,110,2,76,10088,1,250,1,352.6,1,,,1008801,1,2
4,1,110,2,76,10088,2,200,1,311.75,1,,,1008802,1,2
4,1,110,2,76,10089,1,250,1,361.21,1,,,1008901,2,
4,1,110,2,76,10089,2,300,1,421.1,1,,,1008902,2,
4,1,105,2,638,10091,1,2110,3,3029.3,1,,,1009101,2,
4,1,105,2,638,10091,2,1202,3,1137.5,1,,,1009102,2,
4,1,105,2,638,10091,3,2400,3,1358.8,1,,,1009103,2,
4,1,105,2,638,10091,4,1860,3,837.97,1,,,1009104,2,
4,1,105,2,638,10091,5,1750,3,535.95,1,,,1009105,2,
4,1,105,2,638,10092,1,800,1,1045.8,1,,,1009201,1,
4,1,105,2,638,10092,2,350,1,840,1,,,1009202,1,
5,3,322,2,0,10093,1,1,4,,2,1,,,2,
5,3,322,2,0,10093,2,1,4,,2,1,,,2,
5,3,322,2,0,10093,3,1,4,,2,1,,,2,
5,3,322,2,0,10093,4,1,4,,2,1,,,2,
4,1,105,2,638,10094,1,1350,1,1876.1,1,,,1009401,2,
4,1,105,2,638,10094,2,1000,1,1231.8,1,,,1009402,2,
4,1,105,2,638,10094,3,400,1,316.24,1,,,1009403,2,
4,1,105,2,638,10096,1,400,1,412.16,1,,,1009601,10,
4,1,105,2,638,10096,2,11,3,2460.16,1,,,1009602,10,
4,1,105,2,638,10097,1,610,1,220.91,1,,,1009701,2,
4,1,105,2,638,10097,2,1240,1,584.05,1,,,1009702,2,
4,1,105,2,638,10099,1,150,1,368.06,1,,,1009901,1,
4,1,105,2,638,10100,1,792,3,1351.3,1,,,1010001,1,2
4,1,105,2,638,10100,2,620,3,796.58,1,,,1010002,1,2
4,1,108,2,904,10102,1,1000,1,1830.2,1,,,1010201,1,
4,1,108,2,904,10102,2,1000,1,1181.3,1,,,1010202,1,
4,1,108,2,904,10102,3,750,1,920.1,1,,,1010203,1,
4,1,108,2,904,10103,1,900,1,398.89,1,,,1010301,2,1
4,1,108,2,904,10103,2,1000,1,534.73,1,,,1010302,2,1
4,1,108,2,904,10104,1,370,3,445.22,1,,,1010401,1,
4,1,108,2,904,10104,2,610,3,321.84,1,,,1010402,1,
4,1,108,2,904,10105,1,450,1,668.41,1,,,1010501,1,
4,1,108,2,904,10106,1,400,1,767.57,1,,,1010601,1,2
4,1,108,2,904,10106,2,250,1,634.99,1,,,1010602,1,2
4,1,108,2,904,10107,1,200,1,368.52,1,,,1010701,1,
4,1,108,2,904,10108,1,23,3,273.62,1,,,1010801,2,
4,1,108,2,904,10108,2,628,1,536.1,1,,,1010802,2,
4,1,108,2,904,10109,1,434,1,325.26,1,,,1010901,2,
4,1,108,2,904,10110,1,420,1,191.45,1,,,1011001,1,
2,2,209,2,1040,20001,1,1,6,7250,1,,,200011,4,
2,2,209,2,1040,20001,2,1,6,8500.2,1,,,200012,4,
2,2,209,2,1040,20001,3,1,6,1055.2,1,,,200013,4,
2,2,209,2,1040,20001,4,1.5,6,,2,1,,,4,
2,2,209,2,1040,20002,1,1,6,4951,1,,,200021,2,
2,2,209,2,1040,20002,2,1,6,1336.7,1,,,200022,2,
2,2,209,2,1040,20002,3,2,6,8507.1,1,,,200023,2,
2,2,209,2,1040,20002,4,2,6,8507.1,1,,,200024,2,
2,34,3401,2,0,20003,1,2,5,18542,1,,,2000301,6,
2,34,3401,2,0,20003,2,1.5,5,,2,1,,,6,
2,2,209,2,0,20004,1,5,5,49536.5,1,,,200041,1,5
2,2,209,2,0,20004,2,6,5,52130.1,1,,,200042,1,5
2,2,209,2,1040,20005,1,61,2,2298.5,1,,,200051,4,
2,2,209,2,1040,20005,2,1,5,2621.3,1,,,200052,2,
2,2,209,2,1040,20005,3,1,5,1809.2,1,,,200053,5,
2,2,209,2,1040,20005,4,1,5,1758.5,1,,,200054,2,
2,2,209,2,1040,20006,1,118,2,3824.7,1,,,200061,3,4
2,2,209,2,1040,20006,2,1,5,2167.1,1,,,200062,3,4
2,2,209,2,1040,20006,3,0.5,5,1718.1,1,,,200063,3,4
2,2,209,2,1040,20006,4,2,5,,2,1,,,3,4
2,2,209,2,1040,20007,1,2.1,6,8500.3,1,,,200071,1,2
2,2,209,2,1040,20007,2,3,6,4993.2,1,,,200072,1,2
2,2,209,2,1040,20007,3,2.5,6,3584.3,1,,,200073,1,2
2,2,209,2,1040,20007,4,1,6,1853,1,,,200074,1,2
2,2,209,2,1040,20007,5,2.5,6,2494,1,,,200075,1,2
2,2,209,2,1040,20007,6,3.2,6,5449.6,1,,,200076,1,2
2,2,209,2,1040,20008,1,1,6,464.83,1,,,200081,1,2
2,2,209,2,1040,20008,2,2,6,4103,1,,,200082,1,2
2,2,209,2,1040,20008,3,3,6,8748.3,1,,,200083,1,2
2,2,209,2,1040,20009,1,150,2,615.6,1,,,200091,1,10
2,2,209,2,1040,20009,2,1,5,850.42,1,,,200092,1,10
2,2,209,2,1040,20010,1,1,5,3407.2,1,,,200101,3,
2,2,209,2,1040,20010,2,2,5,5081.3,1,,,200102,3,
2,2,209,2,1040,20010,3,1,5,3421.9,1,,,200103,6,
2,2,209,2,1040,20010,4,62,2,1555.4,1,,,200104,6,
2,34,3416,2,0,20011,1,0.5,6,6915.5,1,,,2001101,1,
2,34,3416,2,0,20011,2,1.5,6,,2,1,,,1,
2,34,3416,2,0,20011,3,1,6,,2,1,,,1,
2,34,3416,2,0,20011,4,1.5,6,,2,1,,,1,
2,34,3416,2,0,20011,5,2.5,6,,2,1,,,1,
2,34,3416,2,0,20011,6,,,,2,,,,,
2,2,221,2,18,20012,1,4,5,7763.3,1,,,200161,1,3
2,2,221,2,18,20012,2,3,5,4462.9,1,,,200162,1,3
2,2,221,2,18,20012,3,5,5,8629,1,,,200163,1,3
2,2,221,2,18,20012,4,3,5,3954,1,,,200164,1,3
2,2,221,2,18,20013,1,1.5,6,6657.5,1,,,200131,1,
2,2,221,2,18,20013,2,1,6,3064.3,1,,,200132,1,
2,2,221,2,18,20013,3,0.5,6,1685.5,1,,,200133,1,
2,2,221,2,18,20014,1,142,2,10131,1,,,200141,1,
2,2,221,2,18,20014,2,1,6,7328.4,1,,,200142,1,
2,2,221,2,18,20014,3,1,6,6952.7,1,,,200143,1,
2,2,221,2,18,20015,1,130,2,8137.8,1,,,200151,1,
2,2,221,2,18,20015,2,80,2,6817.2,1,,,200152,1,
2,2,221,2,18,20015,3,200,2,8289,1,,,200153,4,
2,2,221,2,18,20016,1,3,6,7062.8,1,,,200161,1,3
2,2,221,2,18,20016,2,2,6,3824.3,1,,,20162,1,3
2,2,221,2,18,20016,3,1.5,6,2432.9,1,,,20163,1,3
2,2,221,2,18,20017,1,1,5,1057.5,1,,,2001701,6,9
2,2,221,2,18,20017,2,1.5,5,,2,1,,,6,9
2,2,221,2,18,20017,3,478,2,,2,1,,,1,6
2,2,221,2,18,20018,1,1,6,4944.6,1,,,200181,1,5
2,2,221,2,18,20018,2,1.5,6,7383.8,1,,,200182,1,5
2,2,221,2,18,20018,3,2,6,10324,1,,,200183,1,5
2,2,221,2,18,20019,1,1,6,9970.4,1,,,200191,1,
2,2,221,2,18,20019,2,1,5,3407.2,1,,,200192,1,
2,2,221,2,18,20019,3,1,5,3421.9,1,,,200193,1,
2,2,221,2,18,20020,1,1.5,6,7051.3,1,,,200201,3,4
2,2,221,2,18,20020,2,2,6,2102,1,,,200202,3,4
2,2,221,2,18,20020,3,2.4,6,,2,1,,,3,4
2,2,221,2,18,20020,4,1,5,324.02,1,,,200204,3,4
2,2,221,2,18,20020,5,2.5,6,,2,1,,,3,4
2,2,201,2,60,20021,1,0.5,5,2066,1,,,200211,2,
2,2,201,2,60,20021,2,1,5,3186,1,,,2000212,3,
2,2,201,2,60,20021,3,0.5,5,1190,1,,,200213,4,
2,2,201,2,60,20022,1,2.5,6,,2,1,,,1,2
2,2,201,2,60,20023,1,3.4,5,8475,1,,,200231,1,10
2,2,201,2,60,20023,2,2.9,5,7443,1,,,200232,1,10
2,2,201,2,60,20023,3,3.3,5,8037,1,,,200233,1,10
2,2,201,2,60,20023,4,6,5,10846,1,,,200234,1,10
2,2,201,2,60,20024,1,2,5,5612.1,1,,,200241,1,2
2,2,201,2,60,20024,2,3,5,8417.8,1,,,200242,1,2
2,2,201,2,60,20025,1,2,5,7490.8,1,,,200251,1,
2,2,201,2,60,20025,2,2,5,4622.7,1,,,200252,4,
2,2,201,2,60,20025,3,1,5,3743.2,1,,,200253,4,
2,2,201,2,60,20025,4,3,5,,2,2,,,11,
2,2,201,2,60,20026,1,4.3,5,4868.3,1,,,200261,1,2
2,2,201,2,60,20026,2,3.2,5,4025.9,1,,,200262,1,6
2,2,201,2,60,20026,3,4.8,5,5332.9,1,,,200263,1,2
2,2,201,2,60,20027,1,1,6,,2,1,,,3,6
2,2,201,2,60,20027,2,1.5,6,,2,1,,,3,6
2,2,201,2,60,20027,3,2.5,6,,2,2,,,3,6
2,2,201,2,60,20028,1,2,5,,2,1,,,1,
2,2,201,2,60,20028,2,1.5,5,,2,1,,,1,
2,2,201,2,60,20028,3,200,2,4205.4,1,,,200283,1,
2,2,201,2,60,20028,4,2,6,9950.3,1,,,200284,1,
2,2,201,2,60,20029,1,1.5,6,,2,2,,,1,
2,2,201,2,60,20029,2,0.5,6,,2,1,,,1,
2,2,201,2,60,20030,1,3,5,8247.5,1,,,200301,1,2
2,2,201,2,60,20030,2,3,5,7984.4,1,,,200302,1,
2,2,201,2,60,20030,3,2,5,4856.3,1,,,200303,2,
2,2,216,2,200,20031,1,3,6,,2,1,,,2,
2,2,216,2,200,20031,2,3,6,,2,1,,,1,
2,2,216,2,200,20031,3,2,6,,2,1,,,1,
2,2,216,2,200,20031,4,1,6,5171,1,,,200314,1,
2,2,216,2,200,20032,1,3,5,,2,1,,,1,
2,2,216,2,200,20032,2,3,5,,2,1,,,1,
2,2,216,2,200,20032,3,2,5,,2,1,,,1,
2,2,216,2,200,20032,4,2,5,,2,1,,,2,
2,2,216,2,200,20033,1,2,6,,2,5,"FLOOD",,1,3
2,2,216,2,200,20033,2,1,6,,2,5,"FLOOD",,1,3
