"zone","state","lga","sector","ea","hhid","s11aq1","s11aq2"
4,1,115,1,670,10005,1,2
4,1,104,2,1364,10011,1,2
4,1,104,2,1364,10012,1,2
4,1,104,2,1364,10013,1,1
4,1,104,2,1364,10014,2,1
4,1,104,2,1364,10015,1,2
4,1,104,2,1364,10016,1,1
4,1,104,2,1364,10017,1,2
4,1,104,2,1364,10018,1,2
4,1,104,2,1364,10019,1,2
4,1,104,2,1364,10020,1,2
4,1,106,2,880,10021,1,2
4,1,106,2,880,10022,1,2
4,1,106,2,880,10023,1,2
4,1,106,2,880,10024,1,1
4,1,106,2,880,10025,1,1
4,1,106,2,880,10026,1,2
4,1,106,2,880,10027,1,1
4,1,106,2,880,10029,1,2
4,1,106,2,880,10030,1,2
4,1,111,1,1146,10034,1,2
4,1,111,1,1146,10039,1,2
4,1,107,2,1044,10061,1,1
4,1,107,2,1044,10062,1,1
4,1,107,2,1044,10063,1,1
4,1,107,2,1044,10064,1,2
4,1,107,2,1044,10065,1,2
4,1,107,2,1044,10066,1,1
4,1,107,2,1044,10067,1,1
4,1,107,2,1044,10068,1,1
4,1,107,2,1044,10069,1,2
4,1,107,2,1044,10070,1,2
4,1,117,2,560,10071,1,2
4,1,117,2,560,10072,1,1
4,1,117,2,560,10073,1,2
4,1,117,2,560,10074,1,1
4,1,117,2,560,10075,1,1
4,1,117,2,560,10076,1,1
4,1,117,2,560,10077,1,2
4,1,117,2,560,10078,1,2
4,1,117,2,560,10079,1,1
4,1,117,2,560,10080,1,2
4,1,110,2,76,10081,1,1
4,1,110,2,76,10082,1,2
4,1,110,2,76,10084,1,2
4,1,110,2,76,10085,1,2
4,1,110,2,76,10086,1,2
4,1,110,2,76,10087,1,2
4,1,110,2,76,10088,1,2
4,1,105,2,638,10091,1,2
4,1,105,2,638,10092,1,2
4,1,105,2,638,10093,1,2
4,1,105,2,638,10094,1,2
4,1,105,2,638,10095,1,1
4,1,105,2,638,10096,1,1
4,1,105,2,638,10097,1,2
4,1,105,2,638,10099,1,2
4,1,105,2,638,10100,1,2
4,1,108,2,904,10102,1,1
4,1,108,2,904,10103,1,1
4,1,108,2,904,10105,1,2
4,1,108,2,904,10106,1,2
4,1,108,2,904,10107,1,1
4,1,108,2,904,10108,1,2
4,1,108,2,904,10109,1,1
4,1,108,2,904,10110,1,2
2,2,209,2,1040,20001,1,2
2,2,209,2,1040,20002,1,1
2,2,209,2,1040,20003,1,1
2,2,209,2,1040,20004,1,1
2,2,209,2,1040,20005,1,2
2,2,209,2,1040,20006,1,1
2,2,209,2,1040,20007,1,1
2,2,209,2,1040,20008,1,2
2,2,209,2,1040,20009,1,2
2,2,209,2,1040,20010,1,1
2,2,221,2,18,20011,1,2
2,2,221,2,18,20014,1,2
2,2,221,2,18,20015,1,1
2,2,221,2,18,20016,1,1
2,2,221,2,18,20017,1,2
2,2,221,2,18,20018,1,2
2,2,221,2,18,20020,1,1
2,2,201,2,60,20021,1,2
2,2,201,2,60,20022,1,2
2,2,201,2,60,20023,1,1
2,2,201,2,60,20027,1,2
2,2,201,2,60,20028,1,2
2,2,201,2,60,20029,1,2
2,2,216,2,200,20031,1,2
2,2,216,2,200,20032,1,2
2,2,216,2,200,20033,1,1
