"zone","state","lga","sector","ea","hhid","indiv","s2aq2","s2aq3","s2aq4","s2aq5","s2aq6","s2aq7","s2aq7b","s2aq8","s2aq9","s2aq10","s2aq10b","s2aq13","s2aq14","s2aq14b","s2aq15","s2aq16","s2aq16b","s2aq17","s2aq17b","s2aq18","s2aq19","s2aq20","s2aq21","s2aq22","s2aq22b","s2aq23a","s2aq23b","s2aq23c","s2aq23d","s2aq23e","s2aq23f","s2aq23g","s2aq23h","s2aq23i","s2aq24","s2aq25","s2aq26","s2aq26b","s2aq27"
4,1,115,1,670,10001,1,1,2,2,1,1,,,6,43,11,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10001,2,1,1,,1,1,,,6,34,8,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10001,3,1,2,2,1,1,,,4,11,1,,1,,,12,6,,5,,2,2,,,,,25000,2000,2000,5000,12000,5000,1500,2000,,4,,,,
4,1,115,1,670,10001,4,1,1,,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10001,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10001,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10002,1,1,2,2,1,1,,,6,43,9,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10002,2,1,1,,1,1,,,5,42,11,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10002,3,1,2,2,1,1,,,3,24,5,,1,,,24,6,,1,,1,2,,,,,38000,1500,0,5000,0,15000,2000,5000,,4,,,,
4,1,115,1,670,10002,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10002,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10003,1,1,1,,1,1,,,6,42,9,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10003,2,1,2,1,1,1,,,5,42,9,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10003,3,1,2,1,1,1,,,5,41,8,,1,,,42,1,,1,,2,2,,,,,,,,,,,,,65000,4,,,,
4,1,115,1,670,10003,4,1,2,1,1,1,,,5,41,8,,1,,,42,1,,1,,2,2,,,,,,,,,,,,,70000,4,,,,
4,1,115,1,670,10003,5,1,2,1,1,1,,,5,26,6,,1,,,41,2,,6,,2,2,,,,,,,,,,,,,35000,4,,,,
4,1,115,1,670,10003,6,1,2,1,1,1,,,5,16,6,,1,,,24,1,,1,,1,2,,,,,,,,,,,,,12000,4,,,,
4,1,115,1,670,10004,1,1,2,2,1,1,,,7,42,9,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10004,2,1,1,,1,1,,,6,43,9,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10004,3,1,2,2,1,1,,,5,24,5,,1,,,22,2,,6,,2,2,,,,,,,,,,,,,3000,4,,,,
4,1,115,1,670,10004,5,1,2,2,1,1,,,5,15,1,,1,,,16,2,,1,,2,2,,,,,,,,,,,,,1000,4,,,,
4,1,115,1,670,10005,1,1,1,,1,1,,,6,42,9,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10005,2,1,2,1,1,1,,,5,42,9,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10005,3,1,2,1,1,1,,,5,23,2,,1,,,24,6,,5,,1,2,,,,,,,,,,,,,210000,4,,,,
4,1,115,1,670,10005,4,1,2,1,1,1,,,5,21,2,,1,,,22,6,,5,,1,2,,,,,,,,,,,,,210000,4,,,,
4,1,115,1,670,10005,5,1,2,1,1,1,,,5,13,1,,1,,,14,6,,5,,1,2,,,,,,,,,,,,,90000,4,,,,
4,1,115,1,670,10005,6,1,2,1,1,1,,,5,34,8,,1,,,41,2,,6,,2,2,,,,,,,,,,,,,70000,4,,,,
4,1,115,1,670,10005,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10008,1,1,1,,1,1,,,6,43,12,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10008,2,1,2,4,1,1,,,6,43,12,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10008,4,1,1,,1,1,,,3,42,6,,1,,,42,1,,5,,3,2,,,,,50000,0,0,20000,12000,150000,0,8000,,4,,,,
4,1,115,1,670,10008,5,1,2,4,1,1,,,3,42,6,,1,,,42,1,,5,,3,2,,,,,50000,0,0,18000,12000,150000,0,10000,,4,,,,
4,1,115,1,670,10008,6,1,2,4,1,1,,,3,25,5,,1,,,26,6,,6,,2,2,,,,,20000,1000,2000,8500,4000,0,1000,0,,4,,,,
4,1,115,1,670,10008,7,1,2,4,1,1,,,3,23,5,,1,,,24,6,,6,,2,2,,,,,20000,1000,2000,6000,4000,0,1000,0,,4,,,,
4,1,115,1,670,10008,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,1,1,1,,1,1,,,6,43,12,,2,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,4,,,,
4,1,105,2,0,10009,2,1,2,1,1,1,,,6,43,11,,2,5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,4,,,,
4,1,105,2,0,10009,3,1,2,1,1,1,,,3,2,1,,1,,,11,6,,4,,2,2,,,,,76000,5000,24000,18000,0,0,2000,0,,4,,,,
4,1,105,2,0,10009,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,6,1,2,1,1,1,,,6,16,2,,1,,,21,2,,1,,3,2,,,,,,,,,,,,,27000,4,,,,
4,1,105,2,0,10009,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10010,1,1,2,2,1,1,,,5,43,11,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10010,2,1,1,,1,1,,,5,43,11,,2,5,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10010,3,1,2,2,1,1,,,3,42,9,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,115,1,670,10010,4,1,2,2,1,1,,,5,26,6,,1,,,42,1,,6,,2,2,,,,,,,,,,,,,118000,4,,,,
4,1,104,2,1364,10011,1,1,1,,1,1,,,6,16,2,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10011,2,1,2,1,1,1,,,6,26,6,,1,,,41,2,,5,,5,2,,,,,65000,0,0,18000,5000,0,0,25000,,4,,,,
4,1,104,2,1364,10011,3,1,2,1,1,1,,,6,26,6,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10011,4,1,2,1,1,1,,,6,26,6,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10011,5,1,2,1,1,1,,,6,26,6,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10011,6,1,1,,1,1,,,6,26,6,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10012,2,1,1,,1,1,,,8,15,1,,2,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,13,1,,1
4,1,104,2,1364,10012,3,1,2,2,1,1,,,3,42,9,,2,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,,,,
4,1,104,2,1364,10012,4,1,2,5,1,1,,,4,42,9,,2,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,,,,
4,1,104,2,1364,10012,5,1,1,,1,1,,,3,26,6,,2,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,,,,
4,1,104,2,1364,10012,6,1,2,5,1,1,,,3,2,1,,1,,,11,6,,3,,2,2,,,,,10000,1000,1500,4600,4000,0,1000,0,0,4,,,,
4,1,104,2,1364,10012,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10013,1,1,1,,1,1,,,7,16,2,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10013,2,1,2,1,1,1,,,6,26,6,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10013,7,1,2,1,1,1,,,5,43,8,,1,,,43,2,,6,,2,2,,,,,,,,,,,,,47000,4,,,,
4,1,104,2,1364,10013,12,1,2,1,1,1,,,6,26,6,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10014,1,1,1,,1,1,,,6,15,1,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10014,2,1,2,1,1,1,,,5,42,9,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,0,10015,2,1,1,,1,1,,,8,16,2,,2,5,,,,,,,,,,,,,0,0,600,0,0,0,0,0,0,1,12,1,,1
4,1,104,2,1364,10016,1,1,2,2,1,1,,,7,43,9,,2,5,,,,,,,,,,,,,0,0,0,0,,,,,,4,,,,
4,1,104,2,1364,10016,2,1,1,,1,1,,,6,43,9,,2,5,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10016,3,1,2,2,1,1,,,4,26,6,,1,,,41,2,,5,,2,2,,,,,,,,,,,,,123000,4,,,,
4,1,104,2,1364,10016,4,1,2,2,1,1,,,4,25,5,,1,,,26,2,,1,,2,2,,,,,,,,,,,,,69000,4,,,,
4,1,104,2,1364,10016,5,1,2,2,1,1,,,4,11,1,,1,,,12,2,,1,,2,2,,,,,,,,,,,,,8000,4,,,,
4,1,104,2,1364,10016,6,1,2,2,1,1,,,4,41,9,,2,2,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10017,1,1,2,2,1,1,,,8,26,6,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10017,2,1,1,,1,1,,,6,34,8,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10017,5,1,2,2,1,1,,,6,26,6,,2,5,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10017,6,1,2,2,1,1,,,6,26,6,,2,5,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10018,1,1,1,,1,1,,,8,16,2,,2,4,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10018,2,1,2,1,1,1,,,7,16,2,,2,4,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10018,3,1,2,1,1,1,,,6,25,3,,1,,,26,2,,1,,2,2,,,,,,,,,,,,,32000,4,,,,
4,1,104,2,1364,10018,4,1,2,1,1,1,,,6,25,3,,1,,,26,2,,1,,2,2,,,,,,,,,,,,,37000,4,,,,
4,1,104,2,1364,10018,5,1,2,1,1,1,,,5,14,1,,1,,,15,6,,1,,2,2,,,,,,,,,,,,,11000,4,,,,
4,1,104,2,1364,10019,1,1,1,,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,2,1,2,1,1,1,,,5,26,6,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10019,3,1,1,,1,1,,,6,26,6,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10019,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,5,1,2,1,1,1,,,6,26,6,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10019,6,1,2,1,1,1,,,6,26,6,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,104,2,1364,10019,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,1,1,1,,1,1,,,7,26,6,,2,1,,,,,,,,,,,,,0,,,,,,,,,4,,,,
4,1,106,2,880,10021,2,1,1,,2,1,,,6,24,5,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10021,4,1,2,1,1,1,,,6,23,5,,1,,,24,6,,2,,3,2,,,,,17000,2000,0,7000,0,0,5000,2000,,1,21,7,,1
4,1,106,2,880,10021,5,1,2,1,1,1,,,6,23,5,,1,,,24,6,,2,,3,2,,,,,17000,2000,0,7000,0,0,5000,2000,,4,,,,
4,1,106,2,880,10022,1,1,1,,2,1,,,9,16,2,,2,1,,,,,,,,,,,,,0,0,0,,,,,,,4,,,,
4,1,106,2,880,10022,2,1,2,1,2,1,,,7,13,1,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10022,3,1,2,1,1,1,,,6,26,6,,2,5,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10022,5,1,2,1,1,1,,,5,24,5,,1,,,25,6,,1,,4,2,,,,,11000,0,0,5000,0,0,0,0,0,4,,,,
4,1,106,2,880,10022,6,1,2,1,1,1,,,6,15,1,,1,,,16,2,,1,,4,2,,,,,10100,0,4000,2700,0,0,0,0,0,4,,,,
4,1,106,2,880,10023,1,1,1,,1,1,,,8,16,2,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10023,2,1,2,1,1,1,,,6,16,2,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10023,3,1,2,1,1,1,,,3,25,5,,1,,,26,2,,2,,2,2,,,,,30000,1000,3500,15000,3500,0,4500,0,,4,,,,
4,1,106,2,880,10023,4,1,2,1,1,1,,,3,22,2,,2,4,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10023,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10023,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10024,1,1,1,,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10024,2,1,2,1,2,1,,,6,16,2,,2,1,,,,,,,,,,,,,0,,,,,,,,,4,,,,
4,1,106,2,880,10025,1,1,2,2,1,1,,,6,16,2,,2,5,,,,,,,,,,,,,0,,,,,,,,,4,,,,
4,1,106,2,880,10025,2,1,1,,1,1,,,5,16,2,,2,5,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10025,3,1,2,2,2,1,,,4,2,1,,1,,,11,2,,1,,1,2,,,,,0,0,1000,500,0,0,0,950,0,4,,,,
4,1,106,2,880,10025,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10025,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,1,1,2,2,2,1,,,7,16,2,,2,1,,,,,,,,,,,,,0,0,,0,0,,,,,4,,,,
4,1,106,2,880,10027,2,1,1,,1,1,,,6,22,2,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10027,5,1,2,2,1,1,,,6,21,2,,1,,,22,6,,2,,2,2,,,,,6000,0,0,400,0,0,0,300,,4,,,,
4,1,106,2,880,10028,1,1,1,,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,1,1,2,2,1,1,,,6,16,2,,2,5,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10029,2,1,1,,1,1,,,4,16,2,,2,5,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10029,3,1,2,2,1,1,,,3,12,1,,1,,,13,2,,1,,2,2,,,,,0,500,2500,800,0,0,0,0,,4,,,,
4,1,106,2,880,10029,4,1,2,2,1,1,,,3,11,1,,1,,,12,2,,1,,2,2,,,,,0,500,2500,800,0,0,0,0,,4,,,,
4,1,106,2,880,10030,1,1,1,,1,1,,,8,16,2,,2,1,,,,,,,,,,,,,,0,0,,,,,,,4,,,,
4,1,106,2,880,10030,2,1,1,,1,1,,,7,16,2,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10030,4,1,2,1,1,1,,,6,26,6,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10030,5,1,2,1,1,1,,,6,23,5,,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,
4,1,106,2,880,10030,6,1,2,1,1,1,,,6,23,5,,1,,,24,6,,1,,3,2,,,,,22000,22000,2500,1500,5000,0,1000,0,0,4,,,,
4,1,106,2,880,10030,8,1,2,1,1,1,,,7,14,1,,1,,,15,2,,1,,3,2,,,,,0,3000,1000,700,2500,0,1000,0,0,4,,,,
4,1,106,2,880,10030,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10031,1,1,2,2,1,1,,,7,42,9,,2,1,,,,,,,,,,,,,,,,,,,,,0,4,,,,
4,1,111,1,1146,10031,2,1,1,,1,1,,,6,34,8,,2,1,,,,,,,,,,,,,,,,,,,,,0,4,,,,
4,1,111,1,1146,10031,3,1,2,2,1,1,,,5,16,5,,1,,,21,5,,1,,1,2,,,,,,,,,,,,,110000,4,,,,
4,1,111,1,1146,10031,4,1,2,2,1,1,,,5,15,1,,1,,,16,6,,1,,1,2,,,,,,,,,,,,,32000,4,,,,
