"zone","state","lga","sector","ea","hhid","indiv","s2bq1","s2bq2","s2bq2b","s2bq3","s2bq4","s2bq5","s2bq5b","s2bq6","s2bq6b","s2bq7","s2bq7b","s2bq8","s2bq9","s2bq10","s2bq11","s2bq12","s2bq12b","s2bq13","s2bq14a","s2bq14b","s2bq14c","s2bq14d","s2bq14e","s2bq14f","s2bq14g","s2bq14h","s2bq14i","s2bq15","s2bq16","trackingobs"
4,1,115,1,670,10001,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0
4,1,115,1,670,10001,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0
4,1,115,1,670,10001,3,1,,,1,1,,,,,,,,2,,,,,,,,,,,,,,10500,1,43,0
4,1,115,1,670,10001,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0
4,1,115,1,670,10001,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0
4,1,115,1,670,10001,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0
4,1,115,1,670,10001,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0
4,1,115,1,670,10002,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0
4,1,115,1,670,10002,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0
4,1,115,1,670,10002,3,1,,,13,1,,,,,,,,2,,,,,,,,,,,,,,55000,1,42,0
4,1,115,1,670,10002,4,1,,,26,1,,,,,,,,2,,,,,,,,,,,,,,75000,1,43,0
4,1,115,1,670,10002,5,1,,,26,1,,,,,,,,2,,,,,,,,,,,,,,75000,1,43,0
4,1,115,1,670,10002,6,1,,,23,1,,,,,,,,2,,,,,,,,,,,,,,35000,1,42,0
4,1,115,1,670,10002,7,1,,,23,1,,,,,,,,2,,,,,,,,,,,,,,38000,1,42,0
4,1,115,1,670,10003,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0
