"zone","state","lga","sector","ea","hhid","s8q1","s8q2","s8q3a","s8q3b","s8q4a","s8q4b","s8q5","s8q6","s8q6b","s8q7","s8q7b","s8q8","s8q8b","s8q9","s8q10","s8q10b","s8q11","s8q11b","s8q12","s8q13","s8q13b","s8q14a","s8q14b","s8q15","s8q16","s8q17","s8q18a","s8q18b","s8q18c","s8q18d","s8q19","s8q20","s8q21","s8q22","s8q23","s8q24","s8q25a","s8q25b","s8q26","s8q27a","s8q27b","s8q28","s8q29","s8q30a","s8q30b","s8q31","s8q32","s8q33a","s8q33b","s8q33c","s8q33d","s8q34a","s8q34b","s8q35","s8q36a","s8q36b","s8q37","s8q38a","s8q38b","s8q39","trackingobs"
4,1,115,1,670,10001,1,1000000,15000,1,,,9999,6,,7,"ZINC",3,,6,4,,5,,2,,,,,8,0,1,4,,4,,1,2,,,3,0,2050,3,,,,,2,,,1,12000,3,,8,,3,1,560,4,,1,1,,1000,0
4,1,115,1,670,10002,1,1500000,180000,2,,,9999,6,,7,"ZINC",3,,6,5,,5,,2,,,,,8,0,1,4,,4,,4,2,,,3,0,1500,3,,,,,2,,,1,15000,3,,8,,3,1,600,4,,1,1,,1000,0
4,1,115,1,670,10003,1,3500000,20000,1,,,9999,6,,6,,3,,4,5,,5,,2,,,,,1,,1,4,,4,,1,2,,,3,0,1000,3,,,,,2,,,1,2000,3,,3,,5,1,1000,4,,1,3,,,0
4,1,115,1,670,10004,5,,,,15000,1,9999,6,,2,,5,,4,5,,5,,2,,,,,1,,1,4,,4,,1,2,,,4,0,1000,3,,,,,2,,,1,3000,3,,6,,5,1,1500,4,,1,3,,,0
4,1,115,1,670,10006,5,,,,8000,1,9999,6,,7,"ZINC",3,,3,4,,1,,2,,,,,8,300,1,3,,2,,1,2,,,4,0,2000,3,,,,,2,,,1,10000,3,,3,,5,1,1500,4,,1,3,,200,0
4,1,115,1,670,10008,1,1000000,12000,1,,,9999,6,,2,,3,,4,9,,5,,2,,,,,8,0,2,,,,,,,,,,,,,2,,,,2,,,1,1000,3,,3,,5,1,0,3,,1,3,,1000,0
4,1,115,1,670,10009,5,,,,1800,1,9999,6,,4,,3,,3,4,,5,,2,,,,,8,0,1,4,,4,,1,2,,,2,0,2150,3,,,,,2,,,1,3000,3,,3,,5,2,150,4,,1,1,,240,0
4,1,115,1,670,10010,1,2700000,12000,1,,,9999,6,,7,"ZINC",3,,3,5,,5,,2,,,,,8,0,1,4,,4,,1,2,,,2,0,1400,3,,,,,2,,,1,4800,2,,2,,0,,0,4,,1,3,,,0
4,1,104,2,1364,10011,1,750000,1000,1,,,1986,6,,7,"ZINC",3,,4,4,,1,,1,1,,2,2,8,0,2,,,,,,,,,,,,,2,,,,2,,,1,4000,3,,8,,5,1,540,6,,2,4,,0,0
4,1,104,2,1364,10012,1,600000,1000,1,,,1987,6,,7,"ZINC",3,,3,4,,1,,1,1,,2,2,8,0,2,,,,,,,,,,,,,2,,,,2,,,1,5000,3,,8,,5,1,500,6,,2,4,,0,0
4,1,104,2,1364,10013,1,300000,1000,1,,,9999,6,,7,"ZINC",3,,4,5,,1,,2,,,,,2,700,2,,,,,,,,,,,,,2,,,,2,,,1,1500,3,,8,,10,1,1700,4,,1,5,,,0
4,1,104,2,1364,10014,4,,1000,1,,,9999,6,,7,"ZINC",3,,1,5,,5,,2,,,,,2,500,2,,,,,,,,,,,,,2,,,,2,,,1,2000,3,,8,,10,1,900,4,,2,5,,,0
4,1,104,2,1364,10015,5,,,,1000,1,9999,6,,7,"ZINC",3,,1,4,,1,,1,1,,2,2,8,0,2,,,,,,,,,,,,,2,,,,2,,,2,,3,,8,,5,1,300,6,,2,4,,0,0
4,1,104,2,1364,10016,1,1300000,1000,1,,,9999,6,,7,"ZINC",3,,4,4,,1,,1,4,,2,2,8,500,1,3,,2,,1,2,,,2,0,2000,3,,,,,2,,,1,4500,3,,3,,5,2,200,4,,1,5,,0,0
4,1,104,2,1364,10017,1,1300000,1000,1,,,9999,6,,7,"ZINC",3,,7,4,,1,,1,4,,2,2,8,450,1,3,,2,,1,2,,,2,0,2350,3,,,,,2,,,1,6000,3,,3,,10,1,200,4,,1,6,"AT THE FARM",0,0
4,1,104,2,1364,10018,1,200000,1000,1,,,9999,6,,2,,3,,6,4,,1,,1,1,,45,1,8,250,2,,,,,,,,,,,,,2,,,,2,,,2,,3,,8,,15,1,1000,6,,2,4,,0,0
4,1,104,2,1364,10019,1,170000,5000,1,,,9999,6,,2,,3,,5,4,,1,,1,1,,45,1,8,200,2,,,,,,,,,,,,,2,,,,2,,,1,800,3,,8,,15,1,1000,6,,2,4,,0,0
4,1,104,2,1364,10020,4,,1000,1,,,9999,6,,7,"ZINC",3,,2,5,,2,,1,4,,1,2,6,700,2,,,,,,,,,,,,,2,,,,2,,,1,1000,3,,6,,15,1,1000,4,,2,5,,,0
4,1,106,2,880,10021,1,500000,1000,1,,,1995,6,,7,"ZINC",3,,4,4,,1,,1,1,,2,2,8,0,1,2,,4,,1,2,,,3,20,420,1,,,,,2,,,1,3800,3,,8,,5,1,1000,7,,2,4,,0,0
4,1,106,2,880,10022,1,500000,1000,1,,,3,6,,7,,3,,2,4,,1,,1,1,,2,2,8,0,1,2,,4,,1,2,,,3,40,570,3,,,,,2,,,1,3500,3,,8,,5,1,1400,7,,1,4,,0,0
4,1,106,2,880,10023,1,500000,1000,1,,,1995,6,,7,"ZINC",3,,3,4,,5,,1,1,,2,2,8,0,1,2,,2,,1,2,,,3,20,670,3,,,,,2,,,1,5000,3,,8,,5,1,600,7,,2,4,,0,0
4,1,106,2,880,10024,1,500000,500,1,,,9999,6,,2,,3,,4,9,"LAMP",2,,1,4,,1,2,8,600,2,,,,,,,,,,,,,2,,,,2,,,2,,3,,8,,20,1,500,6,,1,4,,,0
4,1,106,2,880,10025,1,150000,300,1,,,9999,2,,7,"ZINC",2,,3,5,,2,,1,4,,1,2,8,700,1,3,,2,,1,2,,,3,20,500,3,,,,,2,,,1,500,3,,3,,10,1,500,6,,2,4,,,0
4,1,106,2,880,10026,1,100000,500,1,,,9999,6,,2,,2,,4,5,,2,,1,4,,1,2,8,600,1,3,,2,,1,2,,,3,18,300,3,,,,,2,,,2,,3,,8,,10,1,300,6,,1,4,,,0
4,1,106,2,880,10027,1,120000,4500,1,,,2003,6,,4,,3,,3,5,,2,,1,4,,20,1,1,,1,2,,2,,1,1,8,1,2,126,1000,3,,,,,2,,,1,3000,2,,2,,1,2,1000,7,,1,4,,,0
4,1,106,2,880,10028,1,25000,500,1,,,9999,4,,7,"ZINC",2,,1,4,,1,,2,,,,,1,,2,,,,,,,,,,,,,1,2,5,,2,,,2,,2,,2,,,,0,7,,2,4,,0,0
