"zone","state","lga","sector","ea","ric","hhid","s8q1","s8q2","s8q3a","s8q3b","s8q4a","s8q4b","s8q5","s8q6","s8q7","s8q7b","s8q8","s8q8b","s8q9","s8q10","s8q10b","s8q11","s8q11b","s8q12","s8q13","s8q13b","s8q14a","s8q14b","s8q15","s8q16","s8q17","s8q18a","s8q18b","s8q18c","s8q18d","s8q19","s8q20","s8q21","s8q22","s8q23","s8q24","s8q25a","s8q25b","s8q26","s8q27a","s8q27b","s8q27c","s8q28","s8q29","s8q30a","s8q30b","s8q31","s8q32","s8q33a","s8q33b","s8q34a","s8q34b","s8q35","s8q36","s8q36b","s8q37","s8q38","s8q38b","s8q39","tracked_obs"
4,1,115,1,670,1309,10001,1,6000000,140000,2,,,2000,9,2,,3,,5,5,,8,,2,,,,,8,0,1,4,,4,,1,1,1,1,3,7,5680,3,,,,,,2,,,1,,3,3,2,1,0,4,,1,2,,400,0
4,1,115,1,670,1309,10002,1,7500000,15000,1,,,2000,9,2,,3,,5,5,,5,,2,,,,,8,0,1,4,,4,,1,1,1,2,2,8,5750,3,,,,,,2,,,1,15500,3,3,1,1,0,4,,1,2,,350,0
4,1,115,1,670,1309,10003,1,5000000,20000,1,,,2000,9,2,,3,,4,5,,5,,2,,,,,1,,1,4,,4,,1,1,1,2,3,37,6000,3,,,,,,2,,,1,7000,3,3,1,1,0,4,,1,4,,0,0
4,1,115,1,670,1309,10004,5,,,,20000,1,9999,9,2,,3,,4,5,,5,,2,,,,,1,,1,4,,4,,1,1,1,2,3,28,6000,3,,,,,,2,,,1,5000,3,3,3,1,3000,4,,1,4,,0,0
4,1,115,1,670,1309,10006,5,,,,10000,1,2010,9,7,"ZINC",3,,3,5,,5,,2,,,,,8,0,1,4,,4,,4,2,,,2,56,2450,3,,,,,,2,,,1,5000,3,3,3,1,0,4,,1,2,,0,0
4,1,115,1,670,1309,10008,1,10000000,30000,1,,,9999,6,2,,6,,5,4,,6,,2,,,,,1,,1,4,,4,,1,2,,,4,8,2600,3,,,,,,2,,,1,5000,4,4,0,,0,4,,1,4,,400,0
4,1,115,1,670,1309,10009,5,,,,15000,1,9999,9,7,"ZINC",3,,3,5,,5,,2,,,,,8,0,1,4,,4,,1,2,,,2,18,2700,3,,,,,,2,,,1,3400,4,4,3,1,3000,4,,1,2,,300,0
4,1,115,1,670,1309,10010,1,8500000,20000,1,,,1980,9,7,"ZINC",3,,4,5,,5,,2,,,,,8,0,1,4,,4,,4,1,2,2,2,32,3750,3,,,,,,2,,,1,5000,3,3,10,1,0,4,,1,4,,300,0
4,1,104,2,1364,1103,10011,1,950000,800,1,,,1985,6,4,,3,,3,4,,1,,1,1,,45,1,8,0,1,2,,2,,1,1,1,1,4,72,3150,3,,,,,,2,,,1,11600,3,3,10,1,850,6,,1,5,,,0
4,1,104,2,1364,1103,10012,1,175000,1000,1,,,1981,6,4,,3,,3,4,,1,,1,1,,1,2,8,0,1,2,,2,,1,1,1,1,4,36,3100,3,,,,,,2,,,1,8500,3,3,10,1,650,6,,1,5,,,0
4,1,104,2,1364,1103,10013,1,3000000,7000,1,,,9999,9,2,,3,,5,5,,2,,2,,,,,2,2000,1,2,,4,,1,1,1,2,3,27,3000,1,,,,,,2,,,1,3000,3,3,10,1,6000,4,,1,5,,,0
4,1,104,2,1364,1103,10014,1,2000000,6,1,,,1978,6,3,,3,,2,5,,5,,2,,,,,1,,1,2,,2,,1,1,1,2,3,35,3000,3,,,,,,2,,,1,5000,3,3,10,1,1500,6,,2,5,,,0
4,1,104,2,1364,1103,10015,5,,,,1150,1,9999,6,4,,3,,1,4,,1,,1,1,,90,1,8,0,1,2,,2,,1,1,1,1,4,96,1500,3,,,,,,2,,,1,3500,3,3,5,1,450,6,,2,6,,,0
4,1,104,2,1364,1103,10016,1,1400000,5000,1,,,1975,9,7,"ZINC",3,,4,3,,5,,1,4,,1,1,1,,1,4,,4,,4,1,2,2,2,10,3500,3,,,,,,2,,,1,6000,3,3,5,1,300,4,,1,5,,,0
4,1,104,2,1364,1103,10017,1,1200000,6000,1,,,1982,9,7,"ZINC",3,,4,5,,5,,1,4,,1,1,8,400,1,4,,4,,4,1,1,2,2,6,300,3,,,,,,2,,,1,5000,3,3,5,1,300,4,,1,6,,,0
4,1,104,2,1364,1103,10018,1,500000,5000,1,,,2004,9,7,"ZINC",3,,4,5,,1,,1,4,,20,1,1,,1,4,,4,,4,1,1,2,2,0,1750,3,,,,,,2,,,1,1500,3,3,5,1,1000,4,,1,6,,,0
4,1,104,2,1364,1103,10019,1,300000,12000,1,,,9999,6,2,,3,,7,4,,1,,1,4,,1,2,1,,2,,,,,,,,,,,,,1,1,,,,2,,,1,3000,3,3,20,1,2500,6,,2,6,,,0
4,1,106,2,880,1104,10021,3,,1000,1,,,1982,6,6,,3,,3,4,,1,,1,1,,1,2,8,0,1,2,,2,,1,1,2,1,4,1,1550,3,,,,,,2,,,1,3500,3,3,45,1,300,6,,2,5,,,0
4,1,106,2,880,1104,10022,1,1000000,800,1,,,2009,6,4,,3,,2,4,,1,,1,1,,30,1,8,0,1,2,,2,,1,1,1,1,4,24,3450,3,,,,,,2,,,1,5000,3,3,90,1,550,6,,1,5,,,0
