"zone","state","lga","sector","ea","hhid","s9q29a","s9q29b","s9q29c","s9q30a","s9q30b","s9q30c"
4,1,115,1,670,10001,,,,91,92,93
4,1,115,1,670,10002,,,,81,82,83
4,1,115,1,670,10003,71,72,63,,,
4,1,115,1,670,10004,,,,71,72,63
4,1,115,1,670,10005,,,,63,72,71
4,1,115,1,670,10008,,,,91,61,13
4,1,105,2,0,10009,,,,81,,
4,1,115,1,670,10010,,,,111,72,
4,1,104,2,1364,10011,71,73,,,,
4,1,104,2,1364,10012,,,,12,71,111
4,1,104,2,1364,10013,13,63,71,,,
4,1,104,2,1364,10014,,,,63,72,131
4,1,104,2,0,10015,,,,71,92,111
4,1,104,2,1364,10016,72,,,,,
4,1,104,2,1364,10017,12,,,,,
4,1,104,2,1364,10018,71,72,,,,
4,1,104,2,1364,10019,71,72,73,,,
4,1,106,2,880,10021,,,,71,72,73
4,1,106,2,880,10022,,,,111,72,71
4,1,106,2,880,10023,,,,71,72,73
4,1,106,2,880,10024,,,,71,63,13
4,1,106,2,880,10025,13,31,72,,,
4,1,106,2,880,10027,132,13,,,,
4,1,106,2,880,10028,,,,111,,
4,1,106,2,880,10029,61,71,132,,,
4,1,106,2,880,10030,71,72,73,,,
4,1,111,1,1146,10031,72,71,63,,,
4,1,111,1,1146,10032,13,72,71,,,
4,1,111,1,1146,10033,,,,71,72,73
4,1,111,1,1146,10034,71,72,73,,,
4,1,111,1,1146,10035,101,91,93,,,
4,1,111,1,1146,10036,13,71,92,,,
4,1,111,1,1146,10037,13,63,72,,,
4,1,111,1,1146,10038,71,72,73,,,
4,4,410,2,0,10039,,,,71,72,73
4,1,111,1,1146,10040,,,,73,,
4,1,102,1,536,10041,74,61,82,,,
6,24,2418,1,0,10042,81,82,92,,,
4,1,102,1,536,10043,71,92,111,,,
4,1,102,1,536,10044,72,71,,,,
4,1,102,1,536,10045,71,72,73,,,
4,1,102,1,536,10046,72,73,,,,
4,1,102,1,536,10047,71,72,111,,,
4,1,102,1,536,10048,71,72,73,,,
4,1,102,1,536,10049,71,72,63,,,
4,1,102,1,536,10050,71,72,63,,,
4,1,102,1,1690,10051,83,62,91,,,
4,1,102,1,1690,10052,91,82,83,,,
4,1,102,1,1690,10053,72,63,83,,,
4,1,102,1,1690,10054,71,72,63,,,
4,1,102,1,1690,10055,72,73,,,,
4,1,102,1,1690,10056,73,72,74,,,
4,1,102,1,1690,10057,71,72,,,,
4,1,102,1,1690,10058,71,72,73,,,
4,1,102,1,1690,10059,,,,71,72,73
4,1,102,1,1690,10060,72,71,63,,,
4,1,107,2,1044,10061,,,,72,71,
4,1,107,2,1044,10062,72,73,74,,,
4,1,107,2,1044,10063,,,,71,72,
4,1,107,2,1044,10064,,,,111,71,72
4,1,102,1,0,10065,72,73,,,,
4,1,107,2,1044,10066,,,,71,72,63
4,1,107,2,1044,10067,,,,71,72,63
4,1,107,2,1044,10068,71,72,63,,,
4,1,107,2,1044,10069,,,,71,72,111
4,1,107,2,0,10070,72,,,,,
4,1,117,2,560,10071,,,,71,72,73
4,1,117,2,560,10072,63,71,13,,,
4,1,117,2,560,10073,61,111,71,,,
4,1,117,2,560,10074,61,72,101,,,
4,1,117,2,560,10075,,,,71,73,72
4,1,117,2,560,10076,,,,71,72,111
4,1,117,2,560,10077,,,,72,,
4,1,117,2,560,10078,,,,82,71,111
4,1,117,2,560,10079,63,72,71,,,
4,1,117,2,560,10080,71,72,,,,
4,1,110,2,76,10081,,,,71,111,
4,1,110,2,76,10082,,,,11,71,
4,1,110,1,0,10083,71,82,91,,,
4,1,110,2,76,10084,,,,121,123,131
4,1,110,2,76,10085,,,,111,121,131
4,1,110,2,76,10086,,,,63,71,83
4,1,110,2,76,10087,,,,71,,
4,1,110,2,76,10088,71,72,73,,,
4,1,110,2,76,10089,,,,,,
4,1,105,2,638,10091,,,,71,72,111
4,1,105,2,638,10092,,,,71,63,73
5,3,322,2,0,10093,,,,61,62,63
4,1,105,2,638,10094,13,63,83,,,
4,1,105,2,638,10096,72,73,,,,
4,1,105,2,638,10097,71,72,,,,
4,1,105,2,638,10098,,,,71,72,
4,1,105,2,638,10099,,,,71,72,73
4,1,105,2,638,10100,71,83,132,,,
4,1,108,2,904,10102,,,,63,83,71
4,1,108,2,904,10103,,,,63,71,83
4,1,108,2,904,10104,,,,71,72,111
4,1,108,2,904,10105,,,,71,73,72
4,1,108,2,904,10106,,,,71,,
4,1,108,2,904,10107,,,,111,91,92
4,1,108,2,904,10108,63,,,,,
4,1,108,2,904,10109,72,,,,,
4,1,108,2,904,10110,72,11,,,,
