"hhid","zone","state","lga","sector","ea","ric","wt_wave2","wt_combined","qno","qno1","saq7","ag1","ag2","ag3","saq11","saq12","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22a","saq22b","tracked_obs"
10001,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,1,1,30,2,2,2,2,1,19,9,2012,10,38,13,6,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10002,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,1,1,14,2,2,2,2,1,19,9,2012,13,10,17,20,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10003,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,1,1,40,2,2,2,3,1,24,10,2012,9,0,12,10,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10004,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,1,1,62,2,2,2,3,1,24,10,2012,13,30,15,15,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10005,4,1,115,1,670,1309,,,1,1,1,2,2,2,1,,23,9,2012,3,15,6,0,7,3,24,9,2012,4,30,6,20,15,2,,,,,,,,,,1,1,0
10006,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,1,1,24,2,2,2,4,1,19,10,2012,14,45,17,30,3,,20,10,2012,14,2,14,15,2,2,,,,,,,,,,1,1,0
10007,4,1,115,1,670,1309,,,,,35,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0
10008,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,1,1,51,2,2,2,1,1,24,10,2012,10,40,15,40,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10009,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,1,1,19,2,2,2,4,1,25,10,2012,10,47,14,12,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10010,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,1,1,46,2,2,2,4,1,19,9,2012,10,50,13,20,3,,20,9,2012,15,42,18,10,2,2,,,,,,,,,,1,1,0
10011,4,1,104,2,1364,1103,11332.054177475,11332.054177475,1,1,21,2,2,2,2,1,19,10,2012,9,15,12,56,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10012,4,1,104,2,1364,1103,11332.054177475,11332.054177475,1,2,9,1,1,1,2,1,18,10,2012,8,50,12,10,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10013,4,1,104,2,1364,1103,11332.054177475,11332.054177475,1,2,6,1,1,1,3,1,18,10,2012,8,52,12,25,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10014,4,1,104,2,1364,1103,11332.054177475,11332.054177475,1,2,11,1,2,1,3,1,18,10,2012,12,28,17,0,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10015,4,1,104,2,1364,1103,11332.054177475,11332.054177475,1,2,4,1,1,1,2,1,18,10,2012,12,15,15,30,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10016,4,1,104,2,1364,1103,11332.054177475,11332.054177475,1,2,24,1,1,1,4,1,18,10,2012,10,15,13,45,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10017,4,1,104,2,1364,1103,11332.054177475,11332.054177475,1,1,19,2,2,2,4,1,19,10,2012,9,15,13,50,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10018,4,1,104,2,1364,1103,11332.054177475,11332.054177475,1,2,16,1,2,1,4,1,18,10,2012,13,50,16,20,3,,19,10,2012,14,0,16,10,2,2,,,,,,,,,,1,1,0
10019,4,1,104,2,1364,1103,11332.054177475,11332.054177475,1,2,14,1,1,1,1,1,18,10,2012,10,30,14,30,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10020,4,1,104,2,1364,1103,,,,,1,2,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0
10021,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,1,2,4,1,1,1,2,1,21,9,2012,13,15,16,35,1,2,,,,,,,,,,,,,,,,,,,1,1,0
10022,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,1,2,10,1,1,1,2,1,22,9,2012,9,30,11,56,1,2,,,,,,,,,,,,,,,,,,,1,1,0
10023,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,1,2,3,1,1,1,2,1,21,9,2012,10,50,13,10,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10024,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,1,2,13,1,2,1,3,1,2,9,2012,9,0,11,30,1,2,,,,,,,,,,,,,,,,,,,1,1,0
10025,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,1,2,7,1,2,1,3,1,22,9,2012,12,5,15,30,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10026,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,1,2,2,1,1,1,3,1,21,9,2012,12,8,14,20,2,,22,9,2012,8,30,11,0,2,2,,,,,,,,,,1,1,0
10027,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,1,2,9,1,1,1,4,1,21,9,2012,11,9,14,20,3,,22,9,2012,10,28,13,45,2,2,,,,,,,,,,1,1,0
10028,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,1,1,1,2,2,2,4,1,22,9,2012,14,45,16,35,3,,24,9,2012,14,10,17,12,2,2,,,,,,,,,,1,1,0
10029,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,1,2,6,1,1,1,4,1,21,9,2012,10,10,16,40,,,22,9,2012,10,30,15,10,2,2,,,,,,,,,,1,1,0
10030,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,1,2,8,1,1,1,4,1,21,9,2012,9,40,16,10,3,,22,9,2012,10,20,16,0,2,2,,,,,,,,,,1,1,0
10031,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,1,13,2,2,2,3,1,1,10,2012,13,0,16,0,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10032,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,1,17,2,2,2,3,1,2,10,2012,15,30,18,30,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10033,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,1,31,2,2,2,2,1,1,10,2012,13,20,16,38,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10034,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,2,10,1,1,1,2,1,2,10,2012,10,31,13,9,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10035,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,1,3,2,2,2,2,1,1,10,2012,10,27,13,15,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10036,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,1,20,2,2,2,3,1,1,10,2012,10,0,14,30,3,,2,10,2012,10,30,13,30,2,2,,,,,,,,,,1,1,0
10037,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,1,27,2,2,2,3,1,1,10,2012,9,0,12,30,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10038,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,1,15,2,2,2,4,1,1,10,2012,14,0,17,30,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10039,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,1,22,2,2,2,4,1,1,10,2012,10,35,14,15,3,,4,10,2012,10,30,12,5,2,2,,,,,,,,,,1,1,0
10040,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,1,1,2,2,2,4,1,1,10,2012,10,42,13,45,3,,2,10,2012,14,30,17,10,2,2,,,,,,,,,,1,1,0
10041,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,1,1,39,2,2,2,2,1,3,10,2012,13,0,15,48,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10042,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,1,1,10,2,2,2,2,1,2,10,2012,9,56,13,45,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10043,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,1,1,2,2,2,2,2,1,2,10,2012,13,50,16,58,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10044,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,1,1,35,2,2,2,4,1,2,10,2012,15,47,18,5,3,,3,10,2012,14,20,16,15,2,2,,,,,,,,,,1,1,0
10045,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,1,1,6,2,2,2,1,1,2,10,2012,15,30,17,30,3,,3,10,2012,10,30,13,30,2,2,,,,,,,,,,1,1,0
10046,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,1,1,14,2,2,2,4,1,2,10,2012,10,37,13,50,3,,3,10,2012,10,20,13,45,2,2,,,,,,,,,,1,1,0
10047,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,1,1,47,2,2,2,4,1,2,10,2012,14,5,17,15,3,,3,10,2012,13,50,15,10,2,2,,,,,,,,,,1,1,0
10048,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,1,1,55,2,2,2,3,1,2,10,2012,9,0,12,30,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10049,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,1,1,30,2,2,2,3,1,2,10,2012,13,0,16,15,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10050,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,1,1,18,2,2,2,3,1,3,10,2012,15,15,17,30,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10051,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,1,1,8,2,2,2,2,1,27,9,2012,14,25,17,38,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10052,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,1,1,3,2,2,2,2,1,27,9,2012,11,10,14,23,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10053,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,1,1,18,2,2,2,3,1,28,9,2012,9,0,12,0,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10054,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,1,1,4,2,2,2,3,1,29,9,2012,9,0,12,5,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10055,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,1,1,15,2,2,2,4,1,27,9,2012,13,15,16,2,3,,28,9,2012,14,10,16,5,2,2,,,,,,,,,,1,1,0
10056,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,1,1,6,2,2,2,4,1,28,9,2012,10,38,12,44,3,,26,9,2012,10,20,13,52,2,2,,,,,,,,,,1,1,0
10057,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,1,2,10,1,2,1,4,1,27,9,2012,13,15,16,20,3,,29,9,2012,14,5,16,20,2,2,,,,,,,,,,1,1,0
10058,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,1,1,1,2,2,2,3,1,27,9,2012,9,30,11,30,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10059,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,1,1,13,2,2,2,2,1,28,9,2012,10,42,13,5,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10060,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,1,1,11,2,2,2,3,1,27,9,2012,12,30,15,50,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10061,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,1,2,10,1,1,1,4,1,1,10,2012,10,46,13,20,3,,2,10,2012,12,15,15,55,2,2,,,,,,,,,,1,1,0
10062,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,1,2,2,1,1,1,4,1,24,9,2012,11,4,14,8,3,,25,9,2012,10,15,13,34,2,2,,,,,,,,,,1,1,0
10063,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,1,2,12,1,1,1,2,1,25,9,2012,10,23,13,8,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10064,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,1,2,2,1,1,1,2,1,24,9,2012,10,39,14,58,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10065,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,1,2,6,1,1,1,2,1,25,9,2012,15,5,18,25,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10066,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,1,2,8,1,1,1,3,1,24,9,2012,9,15,12,5,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10067,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,1,2,5,1,1,1,3,1,25,9,2012,8,30,11,15,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10068,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,1,2,4,1,1,1,3,1,24,9,2012,12,15,15,40,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10069,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,1,2,1,1,1,1,2,1,24,9,2012,10,20,14,20,3,,25,9,2012,10,0,14,30,2,2,,,,,,,,,,1,1,0
10070,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,1,2,13,1,2,1,4,1,24,9,2012,15,8,18,15,3,,25,9,2012,14,45,16,20,2,2,,,,,,,,,,1,1,0
10071,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,1,2,3,1,1,1,3,1,8,10,2012,13,0,16,5,3,,9,10,2012,12,30,14,30,2,2,,,,,,,,,,1,1,0
